제품명,언니_ACCS,저번(RRA수정만),이번(fallback게이트+배율),상태,매칭된_캐시_제품,변화(이번-저번),언니와_차이(이번)
SQ06FA1WDS,14.98,56.2,56.2,OK,SQ06FA1WDS,0.0,-41.22
T875MEE011,50.52,50.48,50.48,OK,T875MEE011,0.0,0.04
망고슬래브 네모닉 AI,37.87,0.0,5.45,OK,ZH10040-19001B,5.45,32.42
Q27G4SL,39.71,0.0,5.72,OK,Q27G4SL,5.72,33.99
CU34G4,39.71,0.0,5.72,OK,CU34G4,5.72,33.99
25B36X,39.71,0.0,5.72,OK,25B36X,5.72,33.99
279QA9200,38.31,0.0,5.67,OK,FAST-IPS,5.67,32.64
V27Q15C,39.06,0.0,5.62,OK,V27Q15C,5.62,33.44
RK70F58M1ZG,43.98,32.9,32.9,OK,RK70F58M1ZG,0.0,11.08
24E40L,39.71,0.0,5.72,OK,24E40L,5.72,33.99
V27Q65C,39.06,0.0,5.62,OK,V27Q65C,5.62,33.44
G880,42.55,,,캐시 없음,,,
ALPS-CAN AOC27E40L,39.71,0.0,5.72,OK,27E40L,5.72,33.99
27QD200M,41.34,0.0,6.07,OK,27QD200M,6.07,35.27
AG326UZD,39.71,0.0,5.72,OK,AG326UZD,5.72,33.99
245G366,37.87,0.0,5.67,OK,FAST-IPS,5.67,32.2
Q27G40ZDF,39.71,0.0,5.72,OK,Q27G40ZDF,5.72,33.99
AOC27B36X,39.71,0.0,5.72,OK,27B36X,5.72,33.99
G820,41.31,51.83,51.83,OK,DV21DG8200BW,0.0,-10.52
27QD166CM,37.87,0.0,5.45,OK,27QD166CM,5.45,32.42
AGP327UZD,39.71,0.0,5.72,OK,AGP327UZD,5.72,33.99
Q27G40E,39.71,0.0,5.72,OK,Q27G40E,5.72,33.99
27QD166CM,37.87,0.0,5.45,OK,27QD166CM,5.45,32.42
27LGQ175CM,37.87,0.0,5.45,OK,27LGQ175CM,5.45,32.42
27QNA955,37.87,0.0,5.45,OK,27QNA955,5.45,32.42
Q27G4S,39.71,0.0,5.72,OK,Q27G4S,5.72,33.99
G8800,40.42,,,캐시 없음,,,
VS28D950ACB,47.94,47.71,47.71,OK,VS28D950ACB,0.0,0.23
WD90H25BHY,53.89,54.9,54.9,OK,WD90H25BHY,0.0,-1.01
VR90F01AAH,53.73,53.34,53.34,OK,VR90F01AAH,0.0,0.39
AR60F07D12WS,52.1,51.35,51.35,OK,AR60F07D12WS,0.0,0.75
AS356NSMA,51.85,56.38,56.38,OK,AS356NSMA,0.0,-4.53
CC80H63E1HS,45.55,45.16,45.16,OK,CC80H63E1HS,0.0,0.39
F21WDSPR,52.46,52.07,52.07,OK,F21WDSPR,0.0,0.39
DW80H73Y1UZ,42.55,0.0,6.38,OK,DW80H73Y1UZ,6.38,36.17
QNED65ABA,53.67,59.11,59.11,OK,75QNED65ABA,0.0,-5.44
뉴스룸,33.69,,,모호함(3개 서로 다른 제품 후보),15-FC1061AU / KSJ-SEB170 / CRH-TWS0610W,,
RS84DB5002CW,51.43,50.66,50.66,OK,RS84DB5002CW,0.0,0.77
VR80F01ADG,51.76,51.38,51.38,OK,VR80F01ADG,0.0,0.38
M876GBB232,50.52,50.48,50.48,OK,M876GBB232,0.0,0.04
RM70F90R2ZD,51.43,50.66,50.66,OK,RM70F90R2ZD,0.0,0.77
WD90H25AHS,53.89,54.9,54.9,OK,WD90H25AHS,0.0,-1.01
75QNED65ABA,53.67,59.11,59.11,OK,75QNED65ABA,0.0,-5.44
M876GBB131,50.52,50.48,50.48,OK,M876GBB131,0.0,0.04
QNED65ABA,53.67,59.11,59.11,OK,75QNED65ABA,0.0,-5.44
FH25WA,54.33,53.74,53.74,OK,FH25WA,0.0,0.59
