url,라벨_기준,판정_기준,ACCS_기준,sufficiency_기준,라벨_최대,판정_최대,ACCS_최대,sufficiency_최대
https://prod.danawa.com/info/?pcode=30766856,정상,Normal,57.91,0.4863,정상,Normal,61.18,0.4983
https://prod.danawa.com/info/?pcode=108693854,정상,Normal,58.2,0.4746,정상,Normal,63.45,0.4972
https://prod.danawa.com/info/?pcode=59090219,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=92235623,정상,Normal,59.58,0.4193,정상,Normal,62.31,0.4193
https://prod.danawa.com/info/?pcode=106748600,정상,Normal,57.21,0.4729,정상,Normal,60.63,0.4937
https://prod.danawa.com/info/?pcode=108693716,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=77279492,정상,Credible,74.28,0.7942,정상,Credible,74.65,0.7942
https://prod.danawa.com/info/?pcode=98778164,정상,Normal,48.63,0.079,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=122664579,정상,Normal,47.92,0.0888,정상,Normal,54.27,0.1307
https://prod.danawa.com/info/?pcode=105967517,정상,Normal,47.91,0.0787,정상,Normal,55.72,0.1322
https://prod.danawa.com/info/?pcode=78532055,정상,Credible,71.91,0.8186,정상,Credible,71.75,0.8261
https://prod.danawa.com/info/?pcode=103480370,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=108693806,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=104615135,정상,Normal,61.02,0.5547,정상,Normal,62.89,0.5714
https://prod.danawa.com/info/?pcode=106221251,정상,Normal,48.14,0.0,정상,Normal,49.36,0.0
https://prod.danawa.com/info/?pcode=106721882,정상,Normal,48.14,0.0,정상,Normal,49.36,0.0
https://prod.danawa.com/info/?pcode=106692854,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=97110818,정상,Normal,49.84,0.1181,정상,Normal,54.22,0.1301
https://prod.danawa.com/info/?pcode=54481226,정상,Normal,48.98,0.0896,정상,Normal,55.76,0.1328
https://prod.danawa.com/info/?pcode=96368897,정상,Normal,49.39,0.1181,정상,Normal,57.2,0.1342
https://prod.danawa.com/info/?pcode=92146238,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=122618297,워싱,Suspected,0.0,0.0,워싱,Suspected,0.0,0.0
https://prod.danawa.com/info/?pcode=78984131,정상,Normal,45.97,0.0,정상,Normal,50.42,0.0
https://prod.danawa.com/info/?pcode=95203529,정상,Credible,71.91,0.8186,정상,Credible,71.75,0.8261
https://prod.danawa.com/info/?pcode=122617984,정상,Washing,0.0,0.0,정상,Normal,53.95,0.1288
https://prod.danawa.com/info/?pcode=109599731,정상,Normal,47.92,0.0888,정상,Normal,54.27,0.1307
