label,accs,suf
genuine,57.91,0.4863
genuine,58.2,0.4746
washing,0.0,0.0
genuine,59.58,0.4193
genuine,57.21,0.4729
genuine,49.39,0.1181
genuine,74.28,0.7942
genuine,48.63,0.079
genuine,47.92,0.0888
genuine,47.91,0.0787
genuine,71.91,0.8186
washing,0.0,0.0
genuine,49.39,0.1181
genuine,61.02,0.5547
genuine,48.14,0.0
genuine,48.14,0.0
washing,0.0,0.0
genuine,49.84,0.1181
genuine,48.98,0.0896
genuine,49.39,0.1181
washing,0.0,0.0
washing,0.0,0.0
genuine,45.97,0.0
genuine,71.91,0.8186
genuine,0.0,0.0
genuine,47.92,0.0888
genuine,59.58,0.4193
genuine,56.17,0.4681
genuine,59.6,0.5639
genuine,59.27,0.4874
genuine,71.91,0.8186
genuine,0.0,0.0
genuine,71.08,0.7734
washing,0.0,0.0
genuine,59.58,0.4193
washing,0.0,0.0
genuine,59.58,0.4193
genuine,71.91,0.8186
genuine,49.84,0.1181
genuine,49.84,0.1181
washing,0.0,0.0
genuine,59.58,0.4193
genuine,49.84,0.1181
washing,0.0,0.0
genuine,51.79,0.1219
genuine,59.58,0.4193
genuine,47.91,0.0787
genuine,59.58,0.4193
genuine,49.39,0.1181
genuine,51.79,0.1219
genuine,51.79,0.1219
genuine,49.84,0.1181
genuine,50.18,0.0
genuine,51.79,0.1219
genuine,57.05,0.3719
genuine,50.03,0.0903
genuine,51.79,0.1219
genuine,47.92,0.0888
genuine,51.79,0.1219
genuine,54.84,0.4342
genuine,0.0,0.0
genuine,59.58,0.4193
genuine,50.03,0.0903
genuine,47.9,0.0
washing,0.0,0.0
genuine,59.58,0.4193
genuine,45.97,0.0
genuine,46.88,0.0784
genuine,59.58,0.4193
genuine,74.28,0.7942
genuine,48.44,0.1181
genuine,38.33,0.0
genuine,49.39,0.1181
genuine,45.97,0.0
genuine,0.0,0.0
genuine,59.58,0.4193
genuine,49.39,0.1181
washing,0.0,0.0
genuine,47.9,0.0
genuine,49.84,0.1181
genuine,71.95,0.8186
genuine,48.14,0.0
genuine,49.84,0.1181
genuine,45.97,0.0
genuine,59.58,0.4193
genuine,47.91,0.0787
genuine,51.79,0.1219
genuine,0.0,0.0
genuine,49.39,0.1181
genuine,59.58,0.4193
genuine,59.58,0.4193
genuine,59.58,0.4193
genuine,51.79,0.1219
genuine,71.91,0.8186
washing,0.0,0.0
genuine,72.95,0.7941
genuine,71.95,0.8186
washing,0.0,0.0
genuine,71.46,0.7734
genuine,49.39,0.1181
genuine,59.58,0.4193
genuine,59.58,0.4193
genuine,49.39,0.1181
genuine,71.92,0.8186
genuine,72.95,0.7941
genuine,71.91,0.8186
genuine,49.39,0.1181
genuine,49.84,0.1181
genuine,49.39,0.1181
genuine,49.39,0.1181
washing,0.0,0.0
genuine,56.17,0.4681
genuine,50.03,0.0903
genuine,46.88,0.0784
genuine,49.39,0.1181
genuine,47.91,0.0787
genuine,59.58,0.4193
genuine,74.28,0.7942
genuine,59.58,0.4193
genuine,49.39,0.1181
genuine,74.28,0.7942
genuine,48.44,0.1181
genuine,59.58,0.4193
washing,0.0,0.0
genuine,71.91,0.8186
genuine,59.58,0.4193
genuine,51.79,0.1219
washing,49.83,0.0
genuine,0.0,0.0
genuine,57.19,0.4536
genuine,49.84,0.1181
genuine,49.84,0.1181
genuine,51.79,0.1219
genuine,38.33,0.0
genuine,56.33,0.3072
genuine,49.84,0.1181
genuine,71.91,0.8186
genuine,49.39,0.1181
genuine,49.84,0.1181
genuine,71.46,0.7734
genuine,71.91,0.8186
genuine,74.28,0.7942
genuine,58.97,0.5544
washing,0.0,0.0
washing,0.0,0.0
genuine,59.58,0.4193
genuine,59.58,0.4193
genuine,74.28,0.7942
genuine,50.03,0.0903
washing,0.0,0.0
genuine,51.79,0.1219
genuine,49.39,0.1181
genuine,49.39,0.1181
genuine,49.84,0.1181
genuine,47.92,0.0888
genuine,48.63,0.079
genuine,49.84,0.1181
washing,0.0,0.0
genuine,71.08,0.7734
genuine,49.39,0.1181
genuine,45.97,0.0
genuine,49.84,0.1181
genuine,51.79,0.1219
genuine,59.58,0.4193
genuine,48.44,0.1181
genuine,59.58,0.4193
genuine,44.0,0.0389
genuine,59.58,0.4193
genuine,48.44,0.1181
genuine,47.92,0.0888
genuine,45.97,0.0
genuine,59.58,0.4193
genuine,49.84,0.1181
genuine,59.58,0.4193
genuine,49.39,0.1181
genuine,59.58,0.4193
genuine,49.84,0.1181
genuine,46.85,0.0781
genuine,49.84,0.1181
genuine,46.88,0.0784
genuine,49.84,0.1181
genuine,47.92,0.0888
genuine,50.03,0.0903
genuine,59.58,0.4193
genuine,59.58,0.4193
genuine,51.79,0.1219
genuine,59.58,0.4193
washing,0.0,0.0
washing,0.0,0.0
washing,0.0,0.0
genuine,47.91,0.0787
genuine,49.39,0.1181
genuine,47.91,0.0787
washing,0.0,0.0
genuine,45.97,0.0
genuine,48.44,0.1181
genuine,49.39,0.1181
genuine,46.88,0.0784
